geolocation_zip_code_prefix;geolocation_lat;geolocation_lng;geolocation_city;geolocation_state
3017;-23.53690519178831;-46.608902596312525;sao paulo;SP
21550;-22.865296148219677;-43.35032664767142;rio de janeiro;RJ
3121;-23.56115739439665;-46.60046725451552;sao paulo;SP
7040;-23.477270228786683;-46.54535857081413;guarulhos;SP
94060;-29.938092532182942;-51.05546159235095;gravatai;RS
5024;-23.5347771268394;-46.68967515528882;sao paulo;SP
75930;-17.96423284183814;-50.33972184853396;maurilandia;GO
29650;-19.930491128413585;-40.594722539103;santa teresa;ES
75600;-18.005968104392824;-49.36562299508079;goiatuba;GO
36350;-20.912762490123427;-44.508849609775794;sao tiago;MG
98300;-27.89287706438373;-53.3113911143681;palmeira das missões;RS
52110;-8.027430125870072;-34.8891287368099;recife;PE
4531;-23.58398338550986;-46.68002337425711;sao paulo;SP
23515;-22.92497907908717;-43.68257674646542;rio de janeiro;RJ
36039;-21.79189104302037;-43.399660840412025;juiz de fora;MG
32341;-19.92849014750156;-44.04896624417204;contagem;MG
21825;-22.88773418650819;-43.47975340270654;rio de janeiro;RJ
28750;-22.065142886466155;-42.05889346216996;trajano de moraes;RJ
7786;-23.33610577729712;-46.83500454179847;cajamar;SP
78850;-15.549477657916832;-54.29897430789568;primavera do leste;MT
79010;-20.448164637871468;-54.606838012127696;campo grande;MS
26310;-22.7161623349268;-43.56892741966089;queimados;RJ
19026;-22.10945701483743;-51.40811046740375;presidente prudente;SP
82025;-25.41243874493622;-49.31124578198396;curitiba;PR
42700;-12.888214554532892;-38.33925187898899;lauro de freitas;BA
95720;-29.245976855620277;-51.538631419107546;garibaldi;RS
6765;-23.61514534554791;-46.7786674694731;taboao da serra;SP
18055;-23.50343147821568;-47.48952966180968;sorocaba;SP
24220;-22.904960556587213;-43.10986536089308;niterói;RJ
37550;-22.227264531160408;-45.9305159697167;pouso alegre;MG
99950;-28.05793815981476;-51.996411765457225;tapejara;RS
41611;-12.939620964573407;-38.36182892655306;salvador;BA
55790;-7.940984106530979;-36.131103499790406;taquaritinga do norte;PE
38550;-18.47202218193451;-47.20273545290463;coromandel;MG
22470;-22.972950063275466;-43.22726232514858;rio de janeiro;RJ
13188;-22.899901899535145;-47.24844678936009;hortolandia;SP
66020;-1.4622977679612843;-48.500521298488174;belem;PA
9390;-23.649345365543205;-46.45613289800334;maua;SP
25942;-22.579188816656348;-43.00274484296512;guapimirim;RJ
94197;-29.91865440487756;-50.90911406728813;gravatai;RS
35675;-19.95296238662959;-44.33064404763346;juatuba;MG
13910;-22.68429887139166;-46.67913512176917;monte alegre do sul;SP
8615;-23.547935358592195;-46.29192724189828;suzano;SP
98570;-27.67355143871954;-53.80309882139944;campo novo;RS
15775;-20.21433725904813;-50.9281613694026;santa fe do sul;SP
75600;-18.009583784724267;-49.35649745458512;goiatuba;GO
93415;-29.69673683522721;-51.120764656913295;novo hamburgo;RS
